filename,Index,t_start,t_ends,num_records,v_means,v_stds,v_skewnesses,n_means,n_stds,n_skewnesses
PEOjet,0,0,1,398,632.9515094802197,73.56167810893714,16.267612646290548,607.0143375959611,72.58832612196228,21.005269566200216
PEOjet,1,0,1,631,625.7494393226939,77.01644056520293,18.13067016168557,597.045686262667,75.679863576478,23.80983873006598
PEOjet,2,0,1,834,629.522494745389,77.02821906214268,17.406350412567512,600.9391968970261,75.79718271922809,23.01887323580478
